time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
3.111545988258316697e+01,6.016608726944621122e-01,3.128059806566501622e-01,9.012376843471824328e-01,2.584030332658808216e-01,1.185370512541989996e-01,5.203834746952542556e-01
3.121330724070450202e+01,6.047451037970319465e-01,3.151238409094667126e-01,9.025587543687034753e-01,2.598750338623330158e-01,1.195494271900164329e-01,5.201706484674658570e-01
3.131115459882582996e+01,6.077996310528920310e-01,3.174220100521426557e-01,9.033881299483556004e-01,2.614306740768067017e-01,1.205874300203287897e-01,5.198609628639768721e-01
3.140900195694715791e+01,6.108342214477534560e-01,3.196963114053225641e-01,9.037565104270894878e-01,2.630957789555462556e-01,1.216467014629743493e-01,5.194822533370268003e-01
3.150684931506849296e+01,6.138652938723196950e-01,3.219432038325071299e-01,9.037197403762601278e-01,2.648914307917628053e-01,1.227232925164267879e-01,5.190604371549717433e-01
3.160469667318982445e+01,6.169144142182988455e-01,3.241597241316681033e-01,9.033545436904441006e-01,2.668328874512801430e-01,1.238138051556852831e-01,5.186193070150527662e-01
3.170254403131115239e+01,6.200064421544848603e-01,3.263434422077901020e-01,9.027525206316959760e-01,2.689292068498795318e-01,1.249154449187245275e-01,5.181803982871494574e-01
3.180039138943248034e+01,6.231675199685456912e-01,3.284924364874780567e-01,9.020132846220588752e-01,2.711834734194199514e-01,1.260259956084727184e-01,5.177628947831910411e-01
3.189823874755381539e+01,6.264230812820503758e-01,3.306052930756494534e-01,9.012375763775777315e-01,2.735934249834798826e-01,1.271437336950138330e-01,5.173835560984780813e-01
3.199608610567514688e+01,6.297960275680010156e-01,3.326811284468467189e-01,9.005210294976883079e-01,2.761522601588773385e-01,1.282673023270228807e-01,5.170566679458467041e-01
3.209393346379647483e+01,6.333051837249048521e-01,3.347196323411913421e-01,8.999490441049093903e-01,2.788494547294327330e-01,1.293955640287018372e-01,5.167940313295319443e-01
3.219178082191780277e+01,6.369641086835591270e-01,3.367211252051551251e-01,8.995930122370597859e-01,2.816714927913356870e-01,1.305274485469880841e-01,5.166050136211408628e-01
