time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
2.906066536203521977e+01,7.455557285053742156e-01,4.742530400320670303e-01,1.085991085088594099e+00,2.192240507361674362e-01,5.417518573377264751e-02,4.788010276974173918e-01
2.915851272015655482e+01,7.485487304524930385e-01,4.795569629528488864e-01,1.086766391272288024e+00,2.190812349627637712e-01,5.461232269745339846e-02,4.756968434919008337e-01
2.925636007827788632e+01,7.514298044698266565e-01,4.848863790238806537e-01,1.087402153165811791e+00,2.189914133752698944e-01,5.508962689596604012e-02,4.723892677278104246e-01
2.935420743639921426e+01,7.541922566840132403e-01,4.902256827330489508e-01,1.087921616040682382e+00,2.189520418753902187e-01,5.560980357143518321e-02,4.689215864553718527e-01
2.945205479452054220e+01,7.568323115100797915e-01,4.955603378613216980e-01,1.088346882387047465e+00,2.189595840480118016e-01,5.617535668571482094e-02,4.653350272071419824e-01
2.954990215264187725e+01,7.593495500978896251e-01,5.008776595808152043e-01,1.088698541835164457e+00,2.190105556742167336e-01,5.629423433905348523e-02,4.616680909656607490e-01
2.964774951076321230e+01,7.617472205909046057e-01,5.061675199910394829e-01,1.088995443287507969e+00,2.191021796529835919e-01,5.630032224350749875e-02,4.579560352396350731e-01
2.974559686888454024e+01,7.640323809819604683e-01,5.114229322060872551e-01,1.089254617303923922e+00,2.192326672078639960e-01,5.638546246645076421e-02,4.542305133419116681e-01
2.984344422700586819e+01,7.662158452744491921e-01,5.166404701866970095e-01,1.089491374037413474e+00,2.194012117207245205e-01,5.651943082588652134e-02,4.505193660845870918e-01
2.994129158512719968e+01,7.683119169696200901e-01,5.218204869714061500e-01,1.089719601359298906e+00,2.196078009991042079e-01,5.668178065261161164e-02,4.468465538247181623e-01
3.003913894324853473e+01,7.703379090800492879e-01,5.269671029970194320e-01,1.089952260078111523e+00,2.198529420106600241e-01,5.686007556462829848e-02,4.432322100446201563e-01
3.013698630136986267e+01,7.723134660830756060e-01,5.320879489220591285e-01,1.090202022034560736e+00,2.201373686753342052e-01,5.704802382177400627e-02,4.396927933515364373e-01
3.023483365949119062e+01,7.742597203673048378e-01,5.371936636341312354e-01,1.090481939747857565e+00,2.204617801681369449e-01,5.724377961590005476e-02,4.362413136023941540e-01
3.033268101761252211e+01,7.761983336708310199e-01,5.419502231604921283e-01,1.090805997734043187e+00,2.208266390366575571e-01,5.744852901068023265e-02,4.328876099941383337e-01
3.043052837573385716e+01,7.781504914826573582e-01,5.450793862101901421e-01,1.091189395931652539e+00,2.212320454416662197e-01,5.774175371179469246e-02,4.296386639729789514e-01
3.052837573385518510e+01,7.801359321793962520e-01,5.481138380318477665e-01,1.091648460831175615e+00,2.216776942119604299e-01,5.811778671123340317e-02,4.264989366324001829e-01
3.062622309197651305e+01,7.821720980709280235e-01,5.511297721938844818e-01,1.092200158268484600e+00,2.221629132199969825e-01,5.851304127668693900e-02,4.234707273507761216e-01
3.072407045009784454e+01,7.842734879855552954e-01,5.542031526164907795e-01,1.092861269276215630e+00,2.226867737520710211e-01,5.892730606114607306e-02,4.226659942718886676e-01
3.082191780821917959e+01,7.864512685163944639e-01,5.574070199909879619e-01,1.093647360627726384e+00,2.232482562727494124e-01,5.935985015474102428e-02,4.259803284789276390e-01
3.091976516634050753e+01,7.887131658452101179e-01,5.608092298694127287e-01,1.094571716408680784e+00,2.238464495975562019e-01,5.980957116448318289e-02,4.296206706015912591e-01
3.101761252446183548e+01,7.910636188362486498e-01,5.644706769735780005e-01,1.095644390999389817e+00,2.244807597377243835e-01,6.027519952161037448e-02,4.335847501994714026e-01
3.111545988258316697e+01,7.935041361447078279e-01,5.684440212165151607e-01,1.096871504711447010e+00,2.251511076982411486e-01,6.075553628278863166e-02,4.378704684261690017e-01
3.121330724070450202e+01,7.960337743368851582e-01,5.727728997609305983e-01,1.098254846100976234e+00,2.258581028863554940e-01,6.124969593915902122e-02,4.424760466617165822e-01
3.131115459882582996e+01,7.986496461747357722e-01,5.774915857868636593e-01,1.099791786195032595e+00,2.266031882830877586e-01,6.175732240846377313e-02,4.474000844339739436e-01
3.140900195694715791e+01,8.013473792033087850e-01,5.826250375856436570e-01,1.101475462485087098e+00,2.273887617472366007e-01,6.227874675375906499e-02,4.526415033768324547e-01
3.150684931506849296e+01,8.041214708972544978e-01,5.881892701399725754e-01,1.103295161544250558e+00,2.282182816400750713e-01,6.281506017397338326e-02,4.581993630328966005e-01
3.160469667318982445e+01,8.069655209850411515e-01,5.941919746101370636e-01,1.105236819535504234e+00,2.290963629968858495e-01,6.336808557526822649e-02,4.640725444661791266e-01
3.170254403131115239e+01,8.098723560212034434e-01,6.006333083932984263e-01,1.107283566384672069e+00,2.300288636879873894e-01,6.394024457012349727e-02,4.702593072616804704e-01
3.180039138943248034e+01,8.128340881814004604e-01,6.075067790439342419e-01,1.109416256513618304e+00,2.310229510823290366e-01,6.453433193608916485e-02,4.767567332373767730e-01
3.189823874755381539e+01,8.158421639455195606e-01,6.148001488229145606e-01,1.111613951009278622e+00,2.320871316472098989e-01,6.517912619414258091e-02,4.835600754984777372e-01
3.199608610567514688e+01,8.188874562433925419e-01,6.224962925720893825e-01,1.113506808511076640e+00,2.332312207971599383e-01,6.608910345136725928e-02,4.906620347789988346e-01
3.209393346379647483e+01,8.219604369909003783e-01,6.305739497201408028e-01,1.110280064172589842e+00,2.344662290397094839e-01,6.705436650133171639e-02,4.980519879169889030e-01
3.219178082191780277e+01,8.250514406555303770e-01,6.390083214055324312e-01,1.107077287014039291e+00,2.358041432276676286e-01,6.807307709700843867e-02,5.057151982093219811e-01
3.228962818003913782e+01,8.281510009432822006e-01,6.477714760094671620e-01,1.103903289861656534e+00,2.372575886179728588e-01,6.914264518487045486e-02,5.136320467962222081e-01
3.238747553816047287e+01,8.312502195590575349e-01,6.568325410184039370e-01,1.109655200773903339e+00,2.388393686981079844e-01,7.025969005752231988e-02,5.217773396201538239e-01
3.248532289628180081e+01,8.343411138218481682e-01,6.637480712784216141e-01,1.116705781893070348e+00,2.405618954130253617e-01,7.142001724305918620e-02,5.301197651779626652e-01
3.258317025440312875e+01,8.374168906193049100e-01,6.675954166762330111e-01,1.123690402310556502e+00,2.424365417787170129e-01,7.261861595298522987e-02,5.386216005397285178e-01
3.268101761252445669e+01,8.404721059597605182e-01,6.681436822340713899e-01,1.130606195350169596e+00,2.444729699681795765e-01,7.384968238079411829e-02,5.472387802170722848e-01
3.277886497064579174e+01,8.435026880284750561e-01,6.687226215087357373e-01,1.135894453115136704e+00,2.466785074669567146e-01,7.510667476907517681e-02,5.559214455596891424e-01
3.287671232876711969e+01,8.465058224720216629e-01,6.693498176574704805e-01,1.138544871539644898e+00,2.490576570920244315e-01,7.638240661011265475e-02,5.646150721956894047e-01
3.297455968688844763e+01,8.494797178862949494e-01,6.700486715597586684e-01,1.141006417974254061e+00,2.516118278298531963e-01,7.766918415940779474e-02,5.732622224714607473e-01
3.307240704500978268e+01,8.524232849430507519e-01,6.708476576090367516e-01,1.143266129049691271e+00,2.543393571728900793e-01,7.895899313393231478e-02,5.818048868035829990e-01
3.317025440313111773e+01,8.553357731842684553e-01,6.717790807106558404e-01,1.145314085154188755e+00,2.572358593098276192e-01,8.024373660849111467e-02,5.851681267449644341e-01
3.326810176125244567e+01,8.582164145984849668e-01,6.728774028104463900e-01,1.147143475217358821e+00,2.602948800995134038e-01,8.151552144805798705e-02,5.884330671672994839e-01
3.336594911937377361e+01,8.610641219697148241e-01,6.741772598068643818e-01,1.148750519160553152e+00,2.635087787476819710e-01,8.276698412008212657e-02,5.921964692371393113e-01
3.346379647749510866e+01,8.638772820386941831e-01,6.757113291790008969e-01,1.150134252893671993e+00,2.668697013899731241e-01,8.399163877531369560e-02,5.964229222062337188e-01
3.356164383561643660e+01,8.666536688971258062e-01,6.775082292782678151e-01,1.151296195885012752e+00,2.703704770914548416e-01,8.518422184615154213e-02,6.010757095159023899e-01
3.365949119373776455e+01,8.693904834844661256e-01,6.795906302366059304e-01,1.152239931466326306e+00,2.740052616953428943e-01,8.634099928790496536e-02,6.061182485148927102e-01
3.375733855185909249e+01,8.720845041445410839e-01,6.819737345096282821e-01,1.152970633808919398e+00,2.777697834733646731e-01,8.745999651451524803e-02,6.115149652807434499e-01
3.385518590998042754e+01,8.747323156118346210e-01,6.846642460065972546e-01,1.153494573704446191e+00,2.816611052472296484e-01,8.854110872830722734e-02,6.172315626276043687e-01
3.395303326810176259e+01,8.773305737529601966e-01,6.876598966808222801e-01,1.153818630282879232e+00,2.856769035382755728e-01,8.958605223266143114e-02,6.232347338834910433e-01
3.405088062622309053e+01,8.798762629119748491e-01,6.909495456093928123e-01,1.153949830415100575e+00,2.898143624042147093e-01,9.059812646991866059e-02,6.294914542448628580e-01
3.414872798434441847e+01,8.823669107182524618e-01,6.945138150433217694e-01,1.153894933828099933e+00,2.940688668792410532e-01,9.158177214116164366e-02,6.359680329170421809e-01
3.424657534246575352e+01,8.848007380321737392e-01,6.983261863803867930e-01,1.153660080478931205e+00,2.984327341670999778e-01,9.254193197287666206e-02,6.426291261717625991e-01
3.434442270058708857e+01,8.871767347855875618e-01,7.023544501062347623e-01,1.153250516619386046e+00,3.028942212834498937e-01,9.348324549312000964e-02,6.494368943283552742e-01
3.444227005870841651e+01,8.894946624997948081e-01,7.065623886774200502e-01,1.152670415578915586e+00,3.074369920296189385e-01,9.440913456903225753e-02,6.563504417809291613e-01
3.454011741682974446e+01,8.917549904656658644e-01,7.109115691325201825e-01,1.151922807034934104e+00,3.120401293678713994e-01,9.532085883919938496e-02,6.633256207756234035e-01
